C1=CNC(C(=C1)C)c1c(cccn1)C 
C1=CNC(C(=C1)O)c1c(cccn1)O 
C1=CNC(C(=C1)OC)c1c(cccn1)OC 
C1=CNC(C(=C1)C(=O)O)c1c(cccn1)C(=O)O 
C1=CNC(C(=C1)C(=O)OC)c1c(cccn1)C(=O)OC 
c1cc(c(nc1)C1C(=CC=CN1)C(=O)O)C(=O)OC 
C1=CNC(C(=C1)C(=O)OC)c1c(cccn1)C(=O)O 
C1=CC(C=C)C=C(c2cc(C=C)ccn2)N1 
c1cc(C#C)cc(C2C=CC=CN2)n1 
C1=CC(C#C)C=C(c2ccccn2)N1 
C1=CC(C#C)C=C(c2cc(C#C)ccn2)N1 
C1=CC(=CC(c2cc(CCc3ccccc3)ccn2)N1)CCc1ccccc1 
C1=CC(c2ccc(C)cc2)C=C(c2cc(c3ccc(C)cc3)ccn2)N1 
C1=CC(c2ccc(O)cc2)C=C(c2cc(c3ccc(O)cc3)ccn2)N1 
C1=CC(c2ccc(OC)cc2)C=C(c2cc(c3ccc(OC)cc3)ccn2)N1 
C1=CC(c2ccc(Cl)cc2)C=C(c2cc(c3ccc(Cl)cc3)ccn2)N1 
c1cc(Br)cc(C2C=CC=CN2)n1 
C1=CC(=CC(c2ccccn2)N1)Br 
C1=CC(=CC(c2cc(Br)ccn2)N1)Br 
C1=CC(=CC(c2cc(C)ccn2)N1)C 
c1cc(C)cc(C2=CC(CBr)C=CN2)n1 
C1=CC(=CC(c2cc(CBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCCBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCCCBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCCCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCCCCBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCCCCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCCCCCBr)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCCCCCBr)C=CN2)n1 
C1=CC(=CC(c2cc(CCCCCCCBr)ccn2)N1)C 
C1=CC(c2ccc(CBr)cc2)C=C(c2cc(c3ccc(CBr)cc3)ccn2)N1 
C1=CC(CBr)C=C(c2cc(CBr)ccn2)N1 
C1=CC(=CC(c2cc(CCCCBr)ccn2)N1)CCCCBr 
C1=CC(=CC(c2cc(CCCCCCCCC)ccn2)N1)CCCCCCCCC 
c1cc(C)cc(C2C=C(CCCl)C=CN2)n1 
C1=CC(=CC(c2cc(CCCl)ccn2)N1)C 
C1=CC(=CC(c2cc(CCl)ccn2)N1)CCl 
C1=CC(=CC(c2cc(CC[Si](C)(C)C)ccn2)N1)CC[Si](C)(C)C 
C1=CC(=CC(c2cc(C(F)(F)F)ccn2)N1)C(F)(F)F 
C1=CC(CI)C=C(c2cc(CI)ccn2)N1 
c1cc(C)cc(C2C=C(CCCO)C=CN2)n1 
C1=CC(=CC(c2cc(CCCO)ccn2)N1)C 
c1cc(C)cc(C2C=C(CO)C=CN2)n1 
C1=CC(=CC(c2cc(CO)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCCO)C=CN2)n1 
C1=CC(=CC(c2cc(CCCCO)ccn2)N1)C 
C1=CC(=CC(c2cc(CO)ccn2)N1)CO 
C1=CC(=CC(c2cc(CCCCO)ccn2)N1)CCCCO 
C1=CC(=CC(c2cc(CCCCCCCCCCC)ccn2)N1)CCCCCCCCCCC 
C1=CC(=CC(c2cc(O)ccn2)N1)O 
C1=CC(=CC(c2cc(OC)ccn2)N1)OC 
C1=CC(=CC(c2cc(SC)ccn2)N1)SC 
C1=CC(=CC(c2cc(SCC)ccn2)N1)SCC 
c1cc(C)cc(C2=CC(C=O)C=CN2)n1 
C1=CC(=CC(c2cc(C=O)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCC=O)C=CN2)n1 
C1=CC(=CC(c2cc(CCCC=O)ccn2)N1)C 
C1=CC(C=O)C=C(c2cc(C=O)ccn2)N1 
c1cc(C)cc(C2=CC(C#N)C=CN2)n1 
C1=CC(=CC(c2cc(C#N)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCC#N)C=CN2)n1 
C1=CC(=CC(c2cc(CCC#N)ccn2)N1)C 
C1=CC(C#N)C=C(c2cc(C#N)ccn2)N1 
C1=CC(=CC(c2cc(CCCCCCCCCCCC)ccn2)N1)CCCCCCCCCCCC 
c1cc(C)cc(C2C=C(CC(=O)O)C=CN2)n1 
C1=CC(=CC(c2cc(CC(=O)O)ccn2)N1)C 
c1cc(C)cc(C2C=C(CCCC(=O)O)C=CN2)n1 
C1=CC(=CC(c2cc(CCCC(=O)O)ccn2)N1)C 
C1=CC(C(=O)O)C=C(c2cc(C(=O)O)ccn2)N1 
C1=CC(C(=O)Cl)C=C(c2cc(C(=O)Cl)ccn2)N1 
C1=CC(C(=O)ON2C(=O)CCC2=O)C=C(c2cc(C(=O)ON3C(=O)CCC3=O)ccn2)N1 
C1=CC(S(=O)(=O)O)C=C(c2cc(S(=O)(=O)O)ccn2)N1 
c1cc(C)cc(C2=CC(C(=O)Cl)C=CN2)n1 
C1=CC(=CC(c2cc(C(=O)Cl)ccn2)N1)C 
c1cc(C(=O)Cl)cc(C2=CC(C(=O)OCC)C=CN2)n1 
C1=CC(C(=O)Cl)C=C(c2cc(C(=O)OCC)ccn2)N1 
c1cccc(C2=CC(C(=O)OC)C=CN2)n1 
