iter	Passed	Remaining
408	4876	7046
409	4887	7032
410	4897	7018
411	4908	7005
412	4918	6991
413	4929	6978
414	4940	6964
415	4951	6950
416	4962	6937
417	4973	6925
418	4984	6911
419	4994	6897
420	5005	6883
421	5017	6871
422	5028	6859
423	5040	6847
424	5052	6835
425	5063	6822
426	5074	6809
427	5087	6798
428	5099	6787
429	5111	6775
430	5122	6763
431	5133	6750
432	5145	6737
433	5156	6724
434	5168	6712
435	5180	6701
436	5191	6688
437	5203	6676
438	5215	6664
439	5226	6651
440	5237	6639
441	5249	6627
442	5261	6615
443	5272	6602
444	5284	6590
445	5296	6579
446	5308	6567
447	5319	6554
448	5331	6542
449	5343	6530
450	5354	6517
451	5366	6506
452	5378	6494
453	5389	6481
454	5401	6470
455	5414	6458
456	5426	6448
457	5440	6437
458	5450	6424
459	5461	6411
460	5472	6398
461	5484	6387
462	5497	6376
463	5508	6363
464	5519	6350
465	5530	6338
466	5542	6326
467	5554	6314
468	5566	6302
469	5577	6289
470	5589	6277
471	5601	6265
472	5612	6253
473	5623	6240
474	5634	6227
475	5646	6215
476	5657	6203
477	5668	6190
478	5679	6177
479	5691	6166
480	5703	6154
481	5715	6142
482	5727	6130
483	5740	6119
484	5751	6107
485	5763	6095
486	5775	6083
487	5787	6072
488	5798	6059
489	5810	6047
490	5821	6035
491	5833	6023
492	5844	6010
493	5855	5997
494	5866	5984
495	5877	5972
496	5888	5959
497	5899	5947
498	5911	5934
499	5922	5922
500	5934	5910
501	5946	5898
502	5957	5886
503	5970	5875
504	5981	5862
505	5992	5850
506	6003	5837
507	6015	5825
508	6026	5813
509	6037	5801
510	6048	5788
511	6059	5775
512	6070	5763
513	6082	5751
514	6094	5739
515	6107	5728
516	6118	5716
517	6131	5705
518	6143	5694
519	6155	5681
520	6167	5670
521	6181	5660
522	6193	5648
523	6205	5637
524	6217	5625
525	6229	5613
526	6241	5602
527	6253	5590
528	6264	5577
529	6276	5566
530	6288	5554
531	6299	5541
532	6311	5529
533	6323	5518
534	6335	5506
535	6347	5494
536	6358	5482
537	6370	5470
538	6381	5457
539	6392	5445
540	6405	5434
541	6417	5422
542	6428	5410
543	6439	5397
544	6451	5386
545	6463	5374
546	6474	5362
547	6485	5349
548	6497	5337
549	6508	5325
550	6520	5313
551	6532	5301
552	6543	5289
553	6554	5277
554	6566	5264
555	6577	5252
556	6589	5240
557	6600	5228
558	6611	5216
559	6622	5203
560	6634	5191
561	6645	5179
562	6657	5167
563	6668	5155
564	6679	5142
565	6691	5131
566	6703	5119
567	6715	5107
568	6727	5095
569	6738	5083
570	6749	5071
571	6760	5058
572	6771	5046
573	6782	5033
574	6793	5021
575	6805	5009
576	6815	4996
